Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H9N9S1F3,C168O111N13H277,[M+H1],1
H9N9S1F3,C168O111N13H277,[M+H2],2
H9N9S1F3,C168O111N13H277,[M+H3],3
H9N9S2,C161O107N14H264,[M+H1],1
H9N9S2,C161O107N14H264,[M+H2],2
H9N9S2,C161O107N14H264,[M+H3],3
H9N9S2F1,C167O111N14H274,[M+H1],1
H9N9S2F1,C167O111N14H274,[M+H2],2
H9N9S2F1,C167O111N14H274,[M+H3],3
H9N9S2F2,C173O115N14H284,[M+H1],1
H9N9S2F2,C173O115N14H284,[M+H2],2
H9N9S2F2,C173O115N14H284,[M+H3],3
H9N9S3,C172O115N15H281,[M+H1],1
H9N9S3,C172O115N15H281,[M+H2],2
H9N9S3,C172O115N15H281,[M+H3],3
H9N9S3F1,C178O119N15H291,[M+H1],1
H9N9S3F1,C178O119N15H291,[M+H2],2
H9N9S3F1,C178O119N15H291,[M+H3],3
