Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H8N9S3F2,C178O118N15H291,[M+H2],2
H8N9S3F2,C178O118N15H291,[M+H3],3
H8N9S4,C177O118N16H288,[M+H1],1
H8N9S4,C177O118N16H288,[M+H2],2
H8N9S4,C177O118N16H288,[M+H3],3
H8N9S4F1,C183O122N16H298,[M+H1],1
H8N9S4F1,C183O122N16H298,[M+H2],2
H8N9S4F1,C183O122N16H298,[M+H3],3
H9N10,C147O96N13H243,[M+H1],1
H9N10,C147O96N13H243,[M+H2],2
H9N10,C147O96N13H243,[M+H3],3
H9N10F1,C153O100N13H253,[M+H1],1
H9N10F1,C153O100N13H253,[M+H2],2
H9N10F1,C153O100N13H253,[M+H3],3
H9N10F2,C159O104N13H263,[M+H1],1
H9N10F2,C159O104N13H263,[M+H2],2
H9N10F2,C159O104N13H263,[M+H3],3
H9N10F3,C165O108N13H273,[M+H1],1
H9N10F3,C165O108N13H273,[M+H2],2
H9N10F3,C165O108N13H273,[M+H3],3
H9N10S1,C158O104N14H260,[M+H1],1
H9N10S1,C158O104N14H260,[M+H2],2
H9N10S1,C158O104N14H260,[M+H3],3
H9N10S1F1,C164O108N14H270,[M+H1],1
H9N10S1F1,C164O108N14H270,[M+H2],2
H9N10S1F1,C164O108N14H270,[M+H3],3
H9N10S1F2,C170O112N14H280,[M+H1],1
H9N10S1F2,C170O112N14H280,[M+H2],2
H9N10S1F2,C170O112N14H280,[M+H3],3
H9N10S2,C169O112N15H277,[M+H1],1
H9N10S2,C169O112N15H277,[M+H2],2
H9N10S2,C169O112N15H277,[M+H3],3
H9N10S2F1,C175O116N15H287,[M+H1],1
H9N10S2F1,C175O116N15H287,[M+H2],2
H9N10S2F1,C175O116N15H287,[M+H3],3
H9N10S3,C180O120N16H294,[M+H1],1
H9N10S3,C180O120N16H294,[M+H2],2
H9N10S3,C180O120N16H294,[M+H3],3
H9N2,C83O56N5H139,[M+H1],1
H9N2,C83O56N5H139,[M+H2],2
H9N2,C83O56N5H139,[M+H3],3
H9N2F1,C89O60N5H149,[M+H1],1
H9N2F1,C89O60N5H149,[M+H2],2
H9N2F1,C89O60N5H149,[M+H3],3
H9N3,C91O61N6H152,[M+H1],1
H9N3,C91O61N6H152,[M+H2],2
H9N3,C91O61N6H152,[M+H3],3
H9N3F1,C97O65N6H162,[M+H1],1
H9N3F1,C97O65N6H162,[M+H2],2
H9N3F1,C97O65N6H162,[M+H3],3
H9N3F2,C103O69N6H172,[M+H1],1
H9N3F2,C103O69N6H172,[M+H2],2
H9N3F2,C103O69N6H172,[M+H3],3
H9N3S1,C102O69N7H169,[M+H1],1
H9N3S1,C102O69N7H169,[M+H2],2
H9N3S1,C102O69N7H169,[M+H3],3
H9N3S1F1,C108O73N7H179,[M+H1],1
H9N3S1F1,C108O73N7H179,[M+H2],2
H9N3S1F1,C108O73N7H179,[M+H3],3
H9N3S1F2,C114O77N7H189,[M+H1],1
H9N3S1F2,C114O77N7H189,[M+H2],2
H9N3S1F2,C114O77N7H189,[M+H3],3
H9N3S2,C113O77N8H186,[M+H1],1
H9N3S2,C113O77N8H186,[M+H2],2
H9N3S2,C113O77N8H186,[M+H3],3
H9N3S2F1,C119O81N8H196,[M+H1],1
H9N3S2F1,C119O81N8H196,[M+H2],2
H9N3S2F1,C119O81N8H196,[M+H3],3
H9N3S2F2,C125O85N8H206,[M+H1],1
H9N3S2F2,C125O85N8H206,[M+H2],2
H9N3S2F2,C125O85N8H206,[M+H3],3
H9N4,C99O66N7H165,[M+H1],1
H9N4,C99O66N7H165,[M+H2],2
H9N4,C99O66N7H165,[M+H3],3
H9N4F1,C105O70N7H175,[M+H1],1
H9N4F1,C105O70N7H175,[M+H2],2
H9N4F1,C105O70N7H175,[M+H3],3
H9N4F2,C111O74N7H185,[M+H1],1
