Sample,241114_SLC35A2_SeqTypsin
Group,Ungrouped
H2N2F1,216858.68
H2N3F1,482682.17000000004
H2N4,38785.46
H3N2,101295.64
H3N2F1,1309797.96
H3N3,300542.68
H3N3F1,3296875.79
H3N3S1F1,802852.61
H3N3S1F2,73246.55
H3N4F1,10945980.54
H3N5,3550911.91
H3N5F1,1817967.74
H3N5F2,204460.26
H4N2,285755.59
H4N3,46751.05
H4N3S1F1,73201.03
H4N3S1F2,648889.03
H4N4F1,515438.54
H5N2,2283785.23
H5N3S1F1,648516.0
H5N4,236024.31
H7N4F1,43679.15
H8N2,3674304.63
